Harbour function list sorted by lib and name
from:
http://www.elektrosoft.it/tutorials/Harbour-Reference-Guide/harbour-complete-functions-list.htm


lista de todas las funciones de harbour ordenadas por lib y nombre
obtenidas desde:
http://www.elektrosoft.it/tutorials/Harbour-Reference-Guide/harbour-complete-functions-list.htm


Contrib     Description

gtwvg       GTWVG (an extension of GTWVT, win-only)
hbamf       AMF file format handling
hbblat      Blat wrapper (e-mailing, win-only)
hbblink     Blinker compatibility
hbbz2       bz2 wrapper (compression)
hbcomio     I/O driver for serial port streams
hbcomm      HBCOMM (xhb.com, MiniGUI) compatibility (serial communication)
hbct        CA-Cl*pper Tools [compatibility]
hbexpat     libexpat wrapper (XML parser)
hbformat    Harbour source code formatter
hbfoxpro    FoxPro compatibility
hbfship     FlagShip compatibility
hbgt        GT library
hbhpdf      libharu wrapper (PDF)
hbhttpd     HTTP server
hblzf       LZF wrapper (compression)
hbmemio     MEMIO file I/O for RDDs
hbmisc      Misc function collection
hbmlzo      minilzo wrapper (compression)
hbmxml      minixml wrapper (XML parser/generator)
hbmzip      minizip wrapper (zip compression)
hbnetio     HBNETIO file I/O for RDDs
hbnf        NanForum lib [compatibility]
hbodbc      ODBC wrapper (SQL/db)
hboslib     OSLib (Dave Pearson's) compatibility
hbsms       SMS handling functions
hbsqlit3    SQLite3 wrapper (SQL)
hbtcpio     I/O driver for TCP streams
hbtest      Regression test framework
hbtinymt    TinyMT, Pseudo Random Generator wrapper
hbtip       TCP/IP-specific communication protocol functions
hbtpathy    Telepath(y) compatibility (serial communication)
hbwin       Windows specific functions (win-only)
hbxdiff     libxdiff wrapper (diffing)
hbxpp       Xbase++ compatibility
hbzebra     Barcode creating functions
hbziparc    HBZIPARC compatibility (zip compression)
rddbm       Bitmap Filter RDD
rddsql      RDDSQL core RDD
sddodbc     RDDSQL ODBC backend
sddsqlt3    RDDSQL SQLite3 backend
xhb         xHarbour compatibility





Function                                          Library

HB_GT_WGU                                         gtwvg
HB_GT_WVG                                         gtwvg
TBrowseWvg                                        gtwvg
WVT_DESTROYPICTURE                                gtwvg
WVT_LOADPICTUREEX                                 gtwvg
Wvg3State                                         gtwvg
WvgActiveXControl                                 gtwvg
WvgBitmap                                         gtwvg
WvgCheckBox                                       gtwvg
WvgComboBox                                       gtwvg
WvgCrt                                            gtwvg
WvgDataRef                                        gtwvg
WvgDialog                                         gtwvg
WvgDrawingArea                                    gtwvg
WvgFont                                           gtwvg
WvgFontDialog                                     gtwvg
WvgHtmlViewer                                     gtwvg
WvgListBox                                        gtwvg
WvgMLE                                            gtwvg
WvgMenu                                           gtwvg
WvgMenuBar                                        gtwvg
WvgPartHandler                                    gtwvg
WvgPushButton                                     gtwvg
WvgRadioButton                                    gtwvg
WvgSLE                                            gtwvg
WvgScrollBar                                      gtwvg
WvgSetAppWindow                                   gtwvg
WvgStatic                                         gtwvg
WvgStatusBar                                      gtwvg
WvgStatusBarPanel                                 gtwvg
WvgSysWindow                                      gtwvg
WvgTabPage                                        gtwvg
WvgToolBar                                        gtwvg
WvgToolBarButton                                  gtwvg
WvgTreeView                                       gtwvg
WvgTreeViewItem                                   gtwvg
WvgWindow                                         gtwvg
Wvg_AddToolBarButton                              gtwvg
Wvg_And                                           gtwvg
Wvg_AppendMenu                                    gtwvg
Wvg_BeginMouseTracking                            gtwvg
Wvg_BoxGet                                        gtwvg
Wvg_BoxGroup                                      gtwvg
Wvg_BoxGroupRaised                                gtwvg
Wvg_BoxRaised                                     gtwvg
Wvg_BoxRecessed                                   gtwvg
Wvg_BringWindowToTop                              gtwvg
Wvg_Button_GetCheck                               gtwvg
Wvg_CallWindowProc                                gtwvg
Wvg_CheckDlgButton                                gtwvg
Wvg_CheckMenuItem                                 gtwvg
Wvg_CheckRadioButton                              gtwvg
Wvg_ChooseColor                                   gtwvg
Wvg_ChooseFont                                    gtwvg
